datetime,open,close,high,low,volume,turnover,amplitude,pricelimit,change,turnoverratio
2022-07-29,69.05,75.0,75.5,68.06,507986,3672526760.0,22.76,129.43,42.31,69.17
2022-08-01,73.9,76.01,76.01,71.01,276000,2032983472.0,6.67,1.35,1.01,37.58
2022-08-02,73.99,79.7,80.11,72.4,255381,1951572063.0,10.14,4.85,3.69,34.78
2022-08-03,78.94,92.02,100.46,77.61,293989,2585294743.0,28.67,15.46,12.32,40.03
2022-08-04,93.0,105.0,108.38,92.9,234015,2331802535.0,16.82,14.11,12.98,31.87
2022-08-05,106.29,126.0,126.0,106.1,142501,1650455521.0,18.95,20.0,21.0,19.4
2022-08-08,140.01,138.0,145.98,117.01,311666,4085220570.0,22.99,9.52,12.0,42.44
2022-08-09,128.01,129.98,132.77,124.0,266078,3408740401.0,6.36,-5.81,-8.02,36.23
2022-08-10,125.0,123.05,134.4,123.03,248121,3195504884.0,8.75,-5.33,-6.93,33.79
2022-08-11,122.3,119.9,127.99,118.2,216727,2665371935.0,7.96,-2.56,-3.15,29.51
2022-08-12,117.21,114.87,121.79,111.66,205407,2402492704.0,8.45,-4.2,-5.03,27.97
2022-08-15,121.0,121.8,133.5,120.0,280024,3521603914.0,11.75,6.03,6.93,38.13
2022-08-16,116.0,125.02,126.43,114.68,209213,2535265416.0,9.65,2.64,3.22,28.49
2022-08-17,124.0,117.05,125.0,117.0,188833,2260468150.0,6.4,-6.37,-7.97,25.71
2022-08-18,115.23,122.02,126.75,115.23,203349,2464674407.0,9.84,4.25,4.97,27.69
2022-08-19,120.08,113.19,124.99,112.22,199226,2334046392.0,10.47,-7.24,-8.83,27.13
2022-08-22,109.0,108.89,113.78,107.39,134765,1478813266.0,5.65,-3.8,-4.3,18.35
2022-08-23,109.46,110.61,113.94,107.7,114007,1261670665.0,5.73,1.58,1.72,15.52
2022-08-24,110.86,111.11,115.48,110.1,142320,1601824919.0,4.86,0.45,0.5,19.38
2022-08-25,111.7,97.55,111.8,96.66,182102,1836504538.0,13.63,-12.2,-13.56,24.8
2022-08-26,98.12,94.04,99.12,93.88,119596,1152864275.0,5.37,-3.6,-3.51,16.29
2022-08-29,92.0,96.8,99.0,91.7,99854,967452934.0,7.76,2.93,2.76,13.6
2022-08-30,96.8,95.11,99.69,94.84,76774,745046694.0,5.01,-1.75,-1.69,10.45
2022-08-31,95.02,98.02,100.3,95.01,133043,1307190914.0,5.56,3.06,2.91,18.12
2022-09-01,99.0,95.2,102.87,94.98,112406,1107985750.0,8.05,-2.88,-2.82,15.31
2022-09-02,95.0,98.4,99.48,94.1,105547,1031732339.0,5.65,3.36,3.2,14.37
2022-09-05,96.54,95.75,98.27,92.6,98070,935262157.0,5.76,-2.69,-2.65,13.35
2022-09-06,95.69,95.84,97.3,93.8,70745,673811589.0,3.66,0.09,0.09,9.63
2022-09-07,98.0,104.44,106.46,97.94,175193,1792757625.0,8.89,8.97,8.6,23.86
2022-09-08,102.0,102.2,104.3,101.01,94960,974285917.0,3.15,-2.14,-2.24,12.93
2022-09-09,103.5,106.5,107.5,101.5,110909,1164973927.0,5.87,4.21,4.3,15.1
2022-09-13,106.0,104.23,112.58,103.81,127941,1388791475.0,8.23,-2.13,-2.27,17.42
2022-09-14,102.5,109.94,111.3,102.4,129854,1401552883.0,8.54,5.48,5.71,17.68
2022-09-15,108.7,111.17,111.17,106.99,119804,1305064230.0,3.8,1.12,1.23,16.31
2022-09-16,109.78,115.39,118.4,109.0,158905,1824340289.0,8.46,3.8,4.22,21.64
2022-09-19,114.93,105.3,117.88,105.18,143793,1598605966.0,11.01,-8.74,-10.09,19.58
2022-09-20,105.0,106.12,107.56,102.88,94909,1000825921.0,4.44,0.78,0.82,12.92
2022-09-21,104.0,101.38,105.61,99.12,101394,1031523247.0,6.12,-4.47,-4.74,13.81
2022-09-22,101.5,104.51,106.8,100.74,96368,1008780835.0,5.98,3.09,3.13,13.12
2022-09-23,103.79,101.33,105.48,101.3,72439,744881647.0,4.0,-3.04,-3.18,9.86
2022-09-26,99.55,98.14,101.97,98.11,75441,749440839.0,3.81,-3.15,-3.19,10.27
2022-09-27,98.0,102.05,102.97,97.96,93325,943288884.0,5.1,3.98,3.91,12.71
2022-09-28,102.06,100.85,103.9,98.93,88261,897212874.0,4.87,-1.18,-1.2,12.02
2022-09-29,102.15,98.85,102.83,98.05,76905,765376899.0,4.74,-1.98,-2.0,10.47
2022-09-30,99.2,90.3,99.88,90.01,95813,895186217.0,9.98,-8.65,-8.55,13.05
2022-10-10,89.99,89.02,92.6,87.66,66267,595653298.0,5.47,-1.42,-1.28,9.02
2022-10-11,89.02,91.65,92.5,86.77,72998,661696726.0,6.44,2.95,2.63,9.94
2022-10-12,90.88,96.94,96.98,88.9,98256,926538738.0,8.82,5.77,5.29,13.38
2022-10-13,96.0,99.19,100.75,95.27,100604,993281911.0,5.65,2.32,2.25,13.7
2022-10-14,99.15,99.1,100.48,96.8,82718,815750502.0,3.71,-0.09,-0.09,11.26
2022-10-17,97.8,102.98,103.45,97.25,85044,863034911.0,6.26,3.92,3.88,11.58
